Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,7.922000,8.000000,7.900000,7.985000,6.374766,7920
2015-01-05,7.930000,7.930000,7.840000,7.880000,6.290940,23990
2015-01-06,7.879000,7.919000,7.630000,7.850000,6.266990,92160
2015-01-07,7.850000,7.900000,7.828000,7.851000,6.267788,33020
2015-01-08,7.900000,7.923000,7.853000,7.853000,6.269385,30290
2015-01-09,7.900000,7.949000,7.856000,7.895000,6.302915,33640
2015-01-12,7.896000,7.994000,7.860000,7.950000,6.346824,16740
2015-01-13,7.881000,7.997000,7.881000,7.945000,6.342833,22670
2015-01-14,7.946000,8.000000,7.946000,7.970000,6.362791,22220
2015-01-15,7.999000,8.084000,7.980000,8.050000,6.426659,46360
2015-01-16,8.050000,8.200000,8.000000,8.160000,6.514476,27840
2015-01-19,8.225000,8.225000,8.077000,8.090000,6.458591,9160
2015-01-20,8.100000,8.259000,8.050000,8.050000,6.426659,55610
2015-01-21,8.055000,8.150000,8.050000,8.100000,6.466576,15450
2015-01-22,8.102000,8.250000,8.090000,8.250000,6.586327,36060
2015-01-23,8.247000,8.247000,8.157000,8.157000,6.512080,23140
2015-01-26,8.164000,8.200000,8.130000,8.132000,6.492122,52540
2015-01-27,8.150000,8.244000,8.125000,8.200000,6.546410,34100
2015-01-28,8.244000,8.244000,8.080000,8.080000,6.450609,102980
2015-01-29,8.190000,8.200000,8.082000,8.152000,6.508089,22160
2015-01-30,8.215000,8.249000,8.151000,8.249000,6.585528,31130
2015-02-02,8.217000,8.217000,7.990000,8.100000,6.466576,74160
2015-02-03,8.080000,8.130000,8.020000,8.100000,6.466576,28980
2015-02-04,8.119000,8.119000,7.985000,8.050000,6.426659,64350
2015-02-05,8.050000,8.050000,7.975000,7.975000,6.366781,17750
2015-02-06,8.020000,8.097000,7.950000,7.950000,6.346824,54820
2015-02-09,8.050000,8.183000,7.950000,8.099000,6.465778,30050
2015-02-10,7.952000,8.049000,7.952000,8.049000,6.425860,19710
2015-02-11,8.049000,8.049000,7.975000,7.975000,6.366781,32520
2015-02-12,7.980000,8.077000,7.975000,8.000000,6.386742,12560
2015-02-13,8.000000,8.064000,7.976000,8.000000,6.386742,37730
2015-02-18,8.059000,8.059000,8.000000,8.000000,6.386742,10880
2015-02-19,8.000000,8.058000,7.975000,7.976000,6.367581,39670
2015-02-20,8.000000,8.039000,7.975000,7.977000,6.368380,24020
2015-02-23,8.033000,8.044000,7.975000,7.981000,6.371572,28850
2015-02-24,7.981000,8.048000,7.978000,7.980000,6.370774,20000
2015-02-25,8.000000,8.049000,7.982000,8.000000,6.386742,12990
2015-02-26,8.003000,8.044000,8.002000,8.035000,6.414682,18870
2015-02-27,8.004000,8.059000,8.000000,8.059000,6.433843,45850
2015-03-02,8.040000,8.050000,7.950000,8.000000,6.386742,29110
2015-03-03,7.998000,8.000000,7.805000,8.000000,6.386742,88730
2015-03-04,8.000000,8.000000,7.950000,7.990000,6.378759,20150
2015-03-05,7.990000,8.000000,7.955000,8.000000,6.386742,21950
2015-03-06,8.000000,8.000000,7.907000,7.920000,6.322873,85820
2015-03-09,7.925000,8.010000,7.925000,8.010000,6.394725,60890
2015-03-10,7.999000,8.000000,7.964000,7.995000,6.382749,48320
2015-03-11,7.994000,8.009000,7.950000,7.960000,6.354808,45130
2015-03-12,7.951000,8.006000,7.950000,8.000000,6.386742,46540
2015-03-13,7.999000,8.028000,7.975000,8.028000,6.409094,36460
2015-03-16,7.976000,8.024000,7.975000,7.999000,6.385942,55410
2015-03-17,7.999000,8.009000,7.975000,8.008000,6.393128,19060
2015-03-18,8.024000,8.024000,7.987000,7.990000,6.378759,26720
2015-03-19,8.014000,8.014000,7.985000,7.990000,6.378759,24910
2015-03-20,8.025000,8.029000,7.990000,8.000000,6.386742,44310
2015-03-23,8.019000,8.021000,7.987000,8.021000,6.403505,40550
2015-03-24,8.042000,8.042000,7.991000,8.020000,6.402708,20730
2015-03-25,8.000000,8.035000,7.995000,8.020000,6.402708,17300
2015-03-26,8.002000,8.037000,7.998000,8.020000,6.402708,29560
2015-03-27,7.998000,8.030000,7.991000,8.000000,6.386742,26620
2015-03-30,8.010000,8.028000,7.991000,8.025000,6.406699,34710
2015-03-31,8.040000,8.059000,7.995000,8.001000,6.387540,196020
2015-04-01,7.925000,7.999000,7.920000,7.935000,6.334849,30080
2015-04-02,7.943000,8.039000,7.941000,8.000000,6.386742,13770
2015-04-06,8.000000,8.050000,7.995000,8.029000,6.409893,25710
2015-04-07,8.039000,8.059000,8.005000,8.042000,6.420271,54890
2015-04-08,8.031000,8.059000,8.016000,8.059000,6.433843,34690
